"year","mean_rain"
1981,452.453713808544
1982,461.273877753645
1983,268.826768857244
1984,256.580221239347
1985,290.149504404716
1986,284.147574416207
1987,385.881565298522
1988,340.035975525203
1989,372.768898674255
1990,336.883597485747
1991,320.636863804235
1992,266.951802304073
1993,269.396290665274
1994,421.381851256181
1995,283.544034843103
1996,227.718690943572
1997,784.274109519075
1998,267.493496514704
1999,241.255447038381
2000,278.249700134695
2001,228.219248582202
2002,325.380474785328
2003,296.26055512395
2004,316.794822513373
2005,267.072459789126
2006,438.531516017119
2007,310.846790712318
2008,282.223654983361
2009,287.204436573377
2010,301.543202219413
2011,330.30129261605
2012,379.63131336572
2013,417.306032976997
2014,273.430601844961
2015,386.725637091934
2016,209.101837886278
2017,279.695157599035
2018,384.358691453342
2019,478.12824294607
2020,367.190615709638
2021,250.932184803534
2022,214.174540063937
2023,545.305584414492
2024,303.326829972227
