"year","mean_rain","anomaly"
1981,452.453713808544,118.735765887396
1982,461.273877753645,127.555929832497
1983,268.826768857244,-64.8911790639041
1984,256.580221239347,-77.1377266818005
1985,290.149504404716,-43.5684435164322
1986,284.147574416207,-49.5703735049411
1987,385.881565298522,52.1636173773743
1988,340.035975525203,6.3180276040556
1989,372.768898674255,39.0509507531069
1990,336.883597485747,3.16564956459877
1991,320.636863804235,-13.0810841169133
1992,266.951802304073,-66.7661456170749
1993,269.396290665274,-64.3216572558742
1994,421.381851256181,87.6639033350336
1995,283.544034843103,-50.173913078045
1996,227.718690943572,-105.999256977576
1997,784.274109519075,450.556161597927
1998,267.493496514704,-66.2244514064436
1999,241.255447038381,-92.462500882767
2000,278.249700134695,-55.4682477864533
2001,228.219248582202,-105.498699338946
2002,325.380474785328,-8.33747313582012
2003,296.26055512395,-37.4573927971979
2004,316.794822513373,-16.923125407775
2005,267.072459789126,-66.6454881320215
2006,438.531516017119,104.813568095971
2007,310.846790712318,-22.87115720883
2008,282.223654983361,-51.4942929377871
2009,287.204436573377,-46.513511347771
2010,301.543202219413,-32.1747457017348
2011,330.30129261605,-3.41665530509738
2012,379.63131336572,45.9133654445727
2013,417.306032976997,83.5880850558493
2014,273.430601844961,-60.2873460761868
2015,386.725637091934,53.0076891707864
2016,209.101837886278,-124.61611003487
2017,279.695157599035,-54.0227903221132
2018,384.358691453342,50.6407435321937
2019,478.12824294607,144.410295024922
2020,367.190615709638,33.4726677884902
2021,250.932184803534,-82.7857631176133
2022,214.174540063937,-119.543407857211
2023,545.305584414492,211.587636493345
2024,303.326829972227,-30.3911179489211
