"Region","year","mean_rain"
"Awdal",1981,453.404907226562
"Awdal",1982,507.740112304688
"Awdal",1983,391.320648193359
"Awdal",1984,235.484222412109
"Awdal",1985,235.689422607422
"Awdal",1986,286.370269775391
"Awdal",1987,273.336334228516
"Awdal",1988,211.853515625
"Awdal",1989,339.827972412109
"Awdal",1990,241.532272338867
"Awdal",1991,219.007263183594
"Awdal",1992,267.499328613281
"Awdal",1993,228.782775878906
"Awdal",1994,327.455596923828
"Awdal",1995,230.583511352539
"Awdal",1996,208.316223144531
"Awdal",1997,455.793273925781
"Awdal",1998,282.373474121094
"Awdal",1999,258.052734375
"Awdal",2000,285.453247070312
"Awdal",2001,243.406585693359
"Awdal",2002,165.860717773438
"Awdal",2003,216.817596435547
"Awdal",2004,252.790954589844
"Awdal",2005,200.70002746582
"Awdal",2006,373.360778808594
"Awdal",2007,261.377105712891
"Awdal",2008,194.288284301758
"Awdal",2009,208.917846679688
"Awdal",2010,354.333099365234
"Awdal",2011,192.146606445312
"Awdal",2012,201.133666992188
"Awdal",2013,400.560821533203
"Awdal",2014,195.491073608398
"Awdal",2015,189.289642333984
"Awdal",2016,282.990692138672
"Awdal",2017,200.510589599609
"Awdal",2018,307.648956298828
"Awdal",2019,365.314208984375
"Awdal",2020,331.278381347656
"Awdal",2021,242.079406738281
"Awdal",2022,153.760452270508
"Awdal",2023,376.080535888672
"Awdal",2024,265.503723144531
"Bakool",1981,827.749877929688
"Bakool",1982,504.156402587891
"Bakool",1983,265.06298828125
"Bakool",1984,255.15803527832
"Bakool",1985,443.864440917969
"Bakool",1986,327.181640625
"Bakool",1987,483.553375244141
"Bakool",1988,423.187194824219
"Bakool",1989,576.183715820312
"Bakool",1990,447.690185546875
"Bakool",1991,417.692718505859
"Bakool",1992,225.342788696289
"Bakool",1993,228.8837890625
"Bakool",1994,513.773498535156
"Bakool",1995,349.566558837891
"Bakool",1996,212.642044067383
"Bakool",1997,1048.26940917969
"Bakool",1998,334.386505126953
"Bakool",1999,302.864868164062
"Bakool",2000,438.550354003906
"Bakool",2001,248.682266235352
"Bakool",2002,469.352996826172
"Bakool",2003,348.855804443359
"Bakool",2004,416.704833984375
"Bakool",2005,260.720916748047
"Bakool",2006,542.577087402344
"Bakool",2007,366.937347412109
"Bakool",2008,351.205322265625
"Bakool",2009,380.617065429688
"Bakool",2010,334.874114990234
"Bakool",2011,370.843292236328
"Bakool",2012,451.086975097656
"Bakool",2013,516.591918945312
"Bakool",2014,301.354431152344
"Bakool",2015,709.77294921875
"Bakool",2016,261.841033935547
"Bakool",2017,291.526489257812
"Bakool",2018,567.021789550781
"Bakool",2019,610.564636230469
"Bakool",2020,489.671081542969
"Bakool",2021,252.677032470703
"Bakool",2022,270.007171630859
"Bakool",2023,926.006713867188
"Bakool",2024,361.666473388672
"Banaadir",1981,574.632141113281
"Banaadir",1982,641.390686035156
"Banaadir",1983,344.835357666016
"Banaadir",1984,423.247497558594
"Banaadir",1985,564.241943359375
"Banaadir",1986,410.459899902344
"Banaadir",1987,641.043273925781
"Banaadir",1988,534.999267578125
"Banaadir",1989,560.241149902344
"Banaadir",1990,412.361389160156
"Banaadir",1991,385.912811279297
"Banaadir",1992,558.334899902344
"Banaadir",1993,414.642303466797
"Banaadir",1994,493.107940673828
"Banaadir",1995,351.944549560547
"Banaadir",1996,279.270050048828
"Banaadir",1997,1417.88159179688
"Banaadir",1998,530.25146484375
"Banaadir",1999,370.679901123047
"Banaadir",2000,355.146881103516
"Banaadir",2001,439.89990234375
"Banaadir",2002,494.519989013672
"Banaadir",2003,477.21240234375
"Banaadir",2004,387.130065917969
"Banaadir",2005,349.589569091797
"Banaadir",2006,520.47705078125
"Banaadir",2007,460.347503662109
"Banaadir",2008,644.564514160156
"Banaadir",2009,580.411254882812
"Banaadir",2010,482.499053955078
"Banaadir",2011,425.253936767578
"Banaadir",2012,504.023468017578
"Banaadir",2013,481.153533935547
"Banaadir",2014,275.723815917969
"Banaadir",2015,478.513031005859
"Banaadir",2016,403.560028076172
"Banaadir",2017,359.462493896484
"Banaadir",2018,356.552825927734
"Banaadir",2019,320.767608642578
"Banaadir",2020,473.556121826172
"Banaadir",2021,405.495697021484
"Banaadir",2022,288.291381835938
"Banaadir",2023,536.644714355469
"Banaadir",2024,330.381683349609
"Bari",1981,127.104118347168
"Bari",1982,216.58918762207
"Bari",1983,106.386474609375
"Bari",1984,112.761650085449
"Bari",1985,51.6698875427246
"Bari",1986,114.724128723145
"Bari",1987,98.5133590698242
"Bari",1988,140.262252807617
"Bari",1989,82.802848815918
"Bari",1990,90.6699981689453
"Bari",1991,61.046501159668
"Bari",1992,81.3852310180664
"Bari",1993,153.215774536133
"Bari",1994,184.853332519531
"Bari",1995,80.2437515258789
"Bari",1996,98.2903060913086
"Bari",1997,232.652618408203
"Bari",1998,54.8421783447266
"Bari",1999,84.5852279663086
"Bari",2000,77.6232299804688
"Bari",2001,56.9075355529785
"Bari",2002,82.9285049438477
"Bari",2003,51.7500076293945
"Bari",2004,176.461044311523
"Bari",2005,97.4008102416992
"Bari",2006,159.426010131836
"Bari",2007,137.896926879883
"Bari",2008,149.437316894531
"Bari",2009,89.9166488647461
"Bari",2010,151.406982421875
"Bari",2011,133.017715454102
"Bari",2012,201.196380615234
"Bari",2013,242.945007324219
"Bari",2014,111.728363037109
"Bari",2015,122.632614135742
"Bari",2016,87.1038131713867
"Bari",2017,103.524078369141
"Bari",2018,126.730827331543
"Bari",2019,259.115173339844
"Bari",2020,196.389602661133
"Bari",2021,117.088661193848
"Bari",2022,58.7663459777832
"Bari",2023,220.119445800781
"Bari",2024,115.946022033691
"Bay",1981,938.802856445312
"Bay",1982,702.150817871094
"Bay",1983,352.671051025391
"Bay",1984,505.485321044922
"Bay",1985,560.140930175781
"Bay",1986,403.521759033203
"Bay",1987,584.066711425781
"Bay",1988,598.14453125
"Bay",1989,670.310791015625
"Bay",1990,627.145935058594
"Bay",1991,582.154724121094
"Bay",1992,488.193267822266
"Bay",1993,409.662445068359
"Bay",1994,795.962585449219
"Bay",1995,445.034912109375
"Bay",1996,310.024627685547
"Bay",1997,1415.69152832031
"Bay",1998,469.728973388672
"Bay",1999,403.702117919922
"Bay",2000,569.028198242188
"Bay",2001,371.406005859375
"Bay",2002,701.99853515625
"Bay",2003,564.397583007812
"Bay",2004,597.751647949219
"Bay",2005,373.589172363281
"Bay",2006,869.426574707031
"Bay",2007,532.802612304688
"Bay",2008,532.227355957031
"Bay",2009,579.613952636719
"Bay",2010,450.697509765625
"Bay",2011,464.404815673828
"Bay",2012,665.031982421875
"Bay",2013,618.204223632812
"Bay",2014,466.883819580078
