"domain_code","domain","area_code_m49","area","element_code","element","item_code_cpc","species","year_code","year","unit","value","flag","flag_description","note"
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1981,1981,"An",6014000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1981,1981,"An",4473000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1981,1981,"An",18000000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1981,1981,"An",10800000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1982,1982,"An",6239000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1982,1982,"An",4574000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1982,1982,"An",19000000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1982,1982,"An",10580000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1983,1983,"An",6131000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1983,1983,"An",4201000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1983,1983,"An",18000000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1983,1983,"An",11200000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1984,1984,"An",6162000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1984,1984,"An",4296000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2123,"Goats",1984,1984,"An",18300000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2122,"Sheep",1984,1984,"An",11800000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2121.01,"Camels",1985,1985,"An",6411000,"A","Official figure",""
"QCL","Crops and livestock products",706,"Somalia",5111,"Stocks",2111,"Cattle",1985,1985,"An",4494000,"A","Official figure",""
